SNO,NAME OF COMPANY,SYMBOL
216,Aditya Birla Money Limited,BIRLAMONEY
217,Bkm Industries Limited,BKMINDST
218,BLB Limited,BLBLIMITED
219,Bliss GVS Pharma Limited,BLISSGVS
220,B. L. Kashyap and Sons Limited,BLKASHYAP
221,BLS International Services Limited,BLS
222,Blue Blends (I) Limited,BLUEBLENDS
223,Blue Coast Hotels Limited,BLUECOAST
224,Blue Dart Express Limited,BLUEDART
225,Blue Star Limited,BLUESTARCO
226,Bodal Chemicals Limited,BODALCHEM
227,Bombay Dyeing & Mfg Company Limited,BOMDYEING
228,Borosil Glass Works Limited,BOROSIL
229,Bosch Limited,BOSCHLTD
230,Bharat Petroleum Corporation Limited,BPCL
231,BPL Limited,BPL
232,Bombay Rayon Fashions Limited,BRFL
233,Brigade Enterprises Limited,BRIGADE
234,Britannia Industries Limited,BRITANNIA
235,Bharat Road Network Limited,BRNL
236,Brooks Laboratories Limited,BROOKS
237,BSE Limited,BSE
238,BSEL Infrastructure Realty Limited,BSELINFRA
239,BSL Limited,BSL
240,BIRLASOFT LIMITED,BSOFT
241,Burnpur Cement Limited,BURNPUR
242,Butterfly Gandhimathi Appliances Limited,BUTTERFLY
243,Barak Valley Cements Limited,BVCL
244,The Byke Hospitality Ltd,BYKE
245,Cadila Healthcare Limited,CADILAHC
246,California Software Company Limited,CALSOFT
247,Camlin Fine Sciences Limited,CAMLINFINE
248,Canara Bank,CANBK
249,C & C Constructions Limited,CANDC
250,Can Fin Homes Limited,CANFINHOME
251,Cantabil Retail India Limited,CANTABIL
252,Capacitâe Infraprojects Limited,CAPACITE
253,Caplin Point Laboratories Limited,CAPLIPOINT
254,Capital Trust Limited,CAPTRUST
255,Carborundum Universal Limited,CARBORUNIV
256,Career Point Limited,CAREERP
257,CARE Ratings Limited,CARERATING
258,Castex Technologies Limited,CASTEXTECH
259,Castrol India Limited,CASTROLIND
260,Country Club Hospitality & Holidays Limited,CCHHL
261,CCL Products (India) Limited,CCL
262,Central Depository Services (India) Limited,CDSL
263,CEAT Limited,CEATLTD
264,Commercial Engineers & Body Builders Co Limited,CEBBCO
265,Celebrity Fashions Limited,CELEBRITY
266,Celestial Biolabs Limited,CELESTIAL
267,Century Enka Limited,CENTENKA
268,Century Extrusions Limited,CENTEXT
269,Central Bank of India,CENTRALBK
270,Centrum Capital Limited,CENTRUM
271,Centum Electronics Limited,CENTUM
272,Century Plyboards (India) Limited,CENTURYPLY
273,Century Textiles & Industries Limited,CENTURYTEX
274,Cera Sanitaryware Limited,CERA
275,Cerebra Integrated Technologies Limited,CEREBRAINT
276,CESC Limited,CESC
277,CESC Ventures Limited,CESCVENT
278,Capri Global Capital Limited,CGCL
279,CG Power and Industrial Solutions Limited,CGPOWER
280,Chalet Hotels Limited,CHALET
281,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
282,Chemfab Alkalis Limited,CHEMFAB
283,Chennai Petroleum Corporation Limited,CHENNPETRO
284,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
285,Cholamandalam Financial Holdings Limited,CHOLAHLDNG
286,Chromatic India Limited,CHROMATIC
287,Cigniti Technologies Limited,CIGNITITEC
288,Cimmco Limited,CIMMCO
289,Cineline India Limited,CINELINE
290,Cinevista Limited,CINEVISTA
291,Cipla Limited,CIPLA
292,Cox & Kings Financial Service Limited,CKFSL
293,CL Educate Limited,CLEDUCATE
294,Clariant Chemicals (India) Limited,CLNINDIA
295,CMI Limited,CMICABLES
296,CIL Nova Petrochemicals Limited,CNOVAPETRO
297,Coal India Limited,COALINDIA
298,Cochin Shipyard Limited,COCHINSHIP
299,Coffee Day Enterprises Limited,COFFEEDAY
300,Colgate Palmolive (India) Limited,COLPAL
301,Compuage Infocom Limited,COMPINFO
302,Compucom Software Limited,COMPUSOFT
303,Container Corporation of India Limited,CONCOR
304,Confidence Petroleum India Limited,CONFIPET
305,Consolidated Finvest & Holdings Limited,CONSOFINVT
306,Control Print Limited,CONTROLPR
307,Coral India Finance & Housing Limited,CORALFINAC
308,Cords Cable Industries Limited,CORDSCABLE
309,Coromandel International Limited,COROMANDEL
310,Corporation Bank,CORPBANK
311,Cosmo Films Limited,COSMOFILMS
312,Country Condoâs Limited,COUNCODOS
313,Cox & Kings Limited,COX&KINGS
314,Creative Peripherals and Distribution Limited,CREATIVE
315,Creative Eye Limited,CREATIVEYE
316,CREDITACCESS GRAMEEN LIMITED,CREDITACC
317,Crest Ventures Limited,CREST
318,CRISIL Limited,CRISIL
319,Crompton Greaves Consumer Electricals Limited,CROMPTON
320,Cambridge Technology Enterprises Limited,CTE
321,City Union Bank Limited,CUB
322,Cubex Tubings Limited,CUBEXTUB
323,Cummins India Limited,CUMMINSIND
324,Cupid Limited,CUPID
325,Cura Technologies Limited,CURATECH
326,Cyber Media (India) Limited,CYBERMEDIA
327,Cybertech Systems And Software Limited,CYBERTECH
328,Cyient Limited,CYIENT
329,LT Foods Limited,DAAWAT
330,Dabur India Limited,DABUR
331,Dalmia Bharat Limited,DALBHARAT
332,Dalmia Bharat Sugar and Industries Limited,DALMIASUG
333,Damodar Industries Limited,DAMODARIND
334,Datamatics Global Services Limited,DATAMATICS
335,D.B.Corp Limited,DBCORP
336,Dilip Buildcon Limited,DBL
337,D B Realty Limited,DBREALTY
338,DB (International) Stock Brokers Limited,DBSTOCKBRO
339,Dishman Carbogen Amcis Limited,DCAL
340,DCB Bank Limited,DCBBANK
341,DCM Limited,DCM
342,DCM Financial Services Limited,DCMFINSERV
343,DCM Nouvelle Limited,DCMNVL
344,DCM Shriram Limited,DCMSHRIRAM
345,DCW Limited,DCW
346,Deccan Cements Limited,DECCANCE
347,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT
348,Deepak Nitrite Limited,DEEPAKNTR
349,Deep Industries Limited,DEEPIND
350,Delta Corp Limited,DELTACORP
351,Delta Magnets Limited,DELTAMAGNT
352,Den Networks Limited,DEN
353,De Nora India Limited,DENORA
354,DFM Foods Limited,DFMFOODS
355,Digicontent Limited,DGCONTENT
356,Dhampur Sugar Mills Limited,DHAMPURSUG
357,Dhanlaxmi Bank Limited,DHANBANK
358,Dhanuka Agritech Limited,DHANUKA
359,Dharani Sugars & Chemicals Limited,DHARSUGAR
360,Dewan Housing Finance Corporation Limited,DHFL
361,Dhunseri Investments Limited,DHUNINV
362,Prataap Snacks Limited,DIAMONDYD
363,Diamond Power Infra Ltd,DIAPOWER
364,DIC India Limited,DICIND
365,DiGiSPICE Technologies Limited,DIGISPICE
366,Digjam Limited,DIGJAMLTD
367,Dish TV India Limited,DISHTV
368,Diviâs Laboratories Limited,DIVISLAB
369,Dixon Technologies (India) Limited,DIXON
370,DLF Limited,DLF
371,D-Link (India) Limited,DLINKINDIA
372,Avenue Supermarts Limited,DMART
373,Diligent Media Corporation Limited,DNAMEDIA
374,Dolat Investments Limited,DOLAT
375,Dollar Industries Limited,DOLLAR
376,Donear Industries Limited,DONEAR
377,DPSC Limited,DPSCLTD
378,DQ Entertainment (International) Limited,DQE
379,Dredging Corporation of India Limited,DREDGECORP
380,Dr. Reddyâs Laboratories Limited,DRREDDY
381,Dynacons Systems & Solutions Limited,DSSL
382,Dhunseri Tea & Industries Limited,DTIL
383,Ducon Infratechnologies Limited,DUCON
384,Dhunseri Ventures Limited,DVL
385,Dwarikesh Sugar Industries Limited,DWARKESH
386,Dynamatic Technologies Limited,DYNAMATECH
387,Dynemic Products Limited,DYNPRO
388,Eastern Silk Industries Limited,EASTSILK
389,Easun Reyrolle Limited,EASUNREYRL
390,eClerx Services Limited,ECLERX
391,Edelweiss Financial Services Limited,EDELWEISS
392,Empee Distilleries Limited,EDL
393,Educomp Solutions Limited,EDUCOMP
394,Eicher Motors Limited,EICHERMOT
395,EID Parry India Limited,EIDPARRY
396,EIH Associated Hotels Limited,EIHAHOTELS
397,EIH Limited,EIHOTEL
398,Eimco Elecon (India) Limited,EIMCOELECO
399,Everest Kanto Cylinder Limited,EKC
400,Elecon Engineering Company Limited,ELECON
401,Electrosteel Castings Limited,ELECTCAST
402,Electrotherm (India) Limited,ELECTHERM
403,Elgi Equipments Limited,ELGIEQUIP
404,Elgi Rubber Company Limited,ELGIRUBCO
405,Emami Limited,EMAMILTD
406,Emami Paper Mills Limited,EMAMIPAP
407,Emami Realty Limited,EMAMIREAL
408,Emco Limited,EMCO
409,Emkay Global Financial Services Limited,EMKAY
410,Emmbi Industries Limited,EMMBI
411,Endurance Technologies Limited,ENDURANCE
412,Energy Development Company Limited,ENERGYDEV
413,Engineers India Limited,ENGINERSIN
414,Entertainment Network (India) Limited,ENIL
415,Eon Electric Limited,EON
416,Equitas Holdings Limited,EQUITAS
417,Eris Lifesciences Limited,ERIS
418,Eros International Media Limited,EROSMEDIA
419,Esab India Limited,ESABINDIA
420,Escorts Limited,ESCORTS
421,Essar Shipping Limited,ESSARSHPNG
422,Essel Propack Limited,ESSELPACK
423,Ester Industries Limited,ESTER
424,Euro Ceramics Limited,EUROCERA
425,Euro Multivision Limited,EUROMULTI
426,Eurotex Industries and Exports Limited,EUROTEXIND
427,Eveready Industries India Limited,EVEREADY
428,Everest Industries Limited,EVERESTIND
429,Excel Realty N Infra Limited,EXCEL
430,Excel Industries Limited,EXCELINDUS
431,Exide Industries Limited,EXIDEIND
432,Expleo Solutions Limited,EXPLEOSOL
433,Fertilizers and Chemicals Travancore Limited,FACT
434,Fairchem Speciality Limited,FAIRCHEM
435,Fineotex Chemical Limited,FCL
436,Future Consumer Limited,FCONSUMER
437,FCS Software Solutions Limited,FCSSOFT
438,FDC Limited,FDC
439,The Federal Bank Limited,FEDERALBNK
440,Future Enterprises Limited,FEL
441,Future Enterprises Limited,FELDVR
442,Fiem Industries Limited,FIEMIND
443,Filatex India Limited,FILATEX
444,Finolex Cables Limited,FINCABLES
445,Fine Organic Industries Limited,FINEORG
446,Finolex Industries Limited,FINPIPE
447,Flexituff Ventures International Limited,FLEXITUFF
448,Future Lifestyle Fashions Limited,FLFL
449,Gujarat Fluorochemicals Limited,FLUOROCHEM
450,Federal-Mogul Goetze (India) Limited.,FMGOETZE
451,Future Market Networks Limited,FMNL
452,FORCE MOTORS LTD,FORCEMOT
453,Fortis Healthcare Limited,FORTIS
454,Foseco India Limited,FOSECOIND
455,Future Retail Limited,FRETAIL
456,Future Supply Chain Solutions Limited,FSC
457,Firstsource Solutions Limited,FSL
458,Gabriel India Limited,GABRIEL
459,Gujarat Ambuja Exports Limited,GAEL
460,GAIL (India) Limited,GAIL
461,Gyscoal Alloys Limited,GAL
462,Galaxy Surfactants Limited,GALAXYSURF
463,Gallantt Metal Limited,GALLANTT
464,Gallantt Ispat Limited,GALLISPAT
465,Gammon Infrastructure Projects Limited,GAMMNINFRA
466,Gandhi Special Tubes Limited,GANDHITUBE
467,Ganesha Ecosphere Limited,GANECOS
468,Ganesh Housing Corporation Limited,GANESHHOUC
469,Ganges Securities Limited,GANGESSECU
470,Gangotri Textiles Limited,GANGOTRI
471,Garden Silk Mills Limited,GARDENSILK
472,Garware Technical Fibres Limited,GARFIBRES
473,GATI Limited,GATI
474,Gayatri Highways Limited,GAYAHWS
475,Gayatri Projects Limited,GAYAPROJ
476,Gateway Distriparks Limited,GDL
477,GeeCee Ventures Limited,GEECEE
478,Genesys International Corporation Limited,GENESYS
479,Genus Paper & Boards Limited,GENUSPAPER
480,Genus Power Infrastructures Limited,GENUSPOWER
481,Geojit Financial Services Limited,GEOJITFSL
482,GE Power India Limited,GEPIL
483,The Great Eastern Shipping Company Limited,GESHIP
484,GE T&D India Limited,GET&D
485,GFL Limited,GFLLIMITED
486,GHCL Limited,GHCL
487,GIC Housing Finance Limited,GICHSGFIN
488,General Insurance Corporation of India,GICRE
489,Gillanders Arbuthnot & Company Limited,GILLANDERS
490,Gillette India Limited,GILLETTE
491,Ginni Filaments Limited,GINNIFILA
492,Gujarat Industries Power Company Limited,GIPCL
493,GI Engineering Solutions Limited,GISOLUTION
494,GKW Limited,GKWLIMITED
495,GlaxoSmithKline Pharmaceuticals Limited,GLAXO
496,Glenmark Pharmaceuticals Limited,GLENMARK
497,Gujarat Lease Financing Limited,GLFL
498,Global Vectra Helicorp Limited,GLOBALVECT
499,Global Offshore Services Limited,GLOBOFFS
500,Globus Spirits Limited,GLOBUSSPR
501,GM Breweries Limited,GMBREW
502,Gujarat Mineral Development Corporation Limited,GMDCLTD
503,GMM Pfaudler Limited,GMMPFAUDLR
504,GMR Infrastructure Limited,GMRINFRA
505,GNA Axles Limited,GNA
506,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
507,Goa Carbon Limited,GOACARBON
508,GOCL Corporation Limited,GOCLCORP
509,Godfrey Phillips India Limited,GODFRYPHLP
510,Godrej Agrovet Limited,GODREJAGRO
511,Godrej Consumer Products Limited,GODREJCP
512,Godrej Industries Limited,GODREJIND
513,Godrej Properties Limited,GODREJPROP
514,Goenka Diamond and Jewels Limited,GOENKA
515,Gokaldas Exports Limited,GOKEX
516,Gokul Refoils and Solvent Limited,GOKUL
517,Gokul Agro Resources Limited,GOKULAGRO
518,Golden Tobacco Limited,GOLDENTOBC
519,Goldiam International Limited,GOLDIAM
520,Goldstone Technologies Limited,GOLDTECH
521,Goodluck India Limited,GOODLUCK
522,Godawari Power And Ispat limited,GPIL
523,Gujarat Pipavav Port Limited,GPPL
524,GPT Infraprojects Limited,GPTINFRA
525,Granules India Limited,GRANULES
526,Graphite India Limited,GRAPHITE
527,Grasim Industries Limited,GRASIM
528,Gravita India Limited,GRAVITA
529,Greaves Cotton Limited,GREAVESCOT
530,Greenlam Industries Limited,GREENLAM
531,Greenpanel Industries Limited,GREENPANEL
532,Greenply Industries Limited,GREENPLY
533,Orient Green Power Company Limited,GREENPOWER
534,Grindwell Norton Limited,GRINDWELL
535,The Grob Tea Company Limited,GROBTEA
536,GRP Limited,GRPLTD
537,Garden Reach Shipbuilders & Engineers Limited,GRSE
